"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"OGNRPON","197911","2255","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197912","2336","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","197913","1970","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198001","2352","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198002","2397","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198003","2439","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198004","2461","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198005","2568","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198006","2615","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198007","2718","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198008","2810","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198009","2868","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198010","2917","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198011","2973","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198012","3036","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198013","2678","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198101","3141","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198102","3268","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198103","3343","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198104","3472","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198105","3568","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198106","3680","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198107","3736","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198108","3867","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198109","3976","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198110","4088","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198111","4166","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198112","4238","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198113","3714","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198201","4156","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198202","3891","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198203","3554","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198204","3209","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198205","2927","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198206","2660","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198207","2504","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198208","2385","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198209","2255","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198210","2173","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198211","2286","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198212","2482","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198213","2862","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198301","2404","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198302","1976","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198303","1793","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198304","1633","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198305","1717","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198306","1777","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198307","1861","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198308","1975","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198309","2077","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198310","2205","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198311","2413","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198312","2570","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198313","2033","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198401","2450","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198402","2221","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198403","2047","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198404","1917","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198405","2075","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198406","2158","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198407","2180","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198408","2201","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198409","2206","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198410","2269","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198411","2397","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
